"","fips","state","county_name","hospitals","population","pred_fit","pred_lwr","pred_upr","pred_status","state_name"
"1","02013","AK","Aleutians East Borough",0,3632,1,0,4,"ok","Alaska"
"2","02016","AK","Aleutians West Census Area",0,5424,1,0,4,"ok","Alaska"
"3","02020","AK","Anchorage Municipality",4,289600,3,0,6,"ok","Alaska"
"4","02050","AK","Bethel Census Area",1,18237,1,0,4,"ok","Alaska"
"5","02060","AK","Bristol Bay Borough",0,884,1,0,4,"ok","Alaska"
"6","02063","AK","Chugach Census Area",2,6604,1,0,4,"ok","Alaska"
"7","02066","AK","Copper River Census Area",0,2631,1,0,4,"ok","Alaska"
"8","02068","AK","Denali Borough",0,1621,1,0,4,"ok","Alaska"
"9","02070","AK","Dillingham Census Area",1,4642,1,0,4,"ok","Alaska"
"10","02090","AK","Fairbanks North Star Borough",2,94951,1,0,4,"ok","Alaska"
"11","02100","AK","Haines Borough",0,2104,1,0,4,"ok","Alaska"
"12","02105","AK","Hoonah-Angoon Census Area",0,2312,1,0,4,"ok","Alaska"
"13","02110","AK","Juneau City and Borough",1,31572,1,0,4,"ok","Alaska"
"14","02122","AK","Kenai Peninsula Borough",3,61259,1,0,4,"ok","Alaska"
"15","02130","AK","Ketchikan Gateway Borough",1,13677,1,0,4,"ok","Alaska"
"16","02150","AK","Kodiak Island Borough",1,12654,1,0,4,"ok","Alaska"
"17","02158","AK","Kusilvak Census Area",0,7946,1,0,4,"ok","Alaska"
"18","02164","AK","Lake and Peninsula Borough",0,1315,1,0,4,"ok","Alaska"
"19","02170","AK","Matanuska-Susitna Borough",1,117613,2,0,4,"ok","Alaska"
"20","02180","AK","Nome Census Area",1,9836,1,0,4,"ok","Alaska"
"21","02185","AK","North Slope Borough",1,10663,1,0,4,"ok","Alaska"
"22","02188","AK","Northwest Arctic Borough",1,7134,1,0,4,"ok","Alaska"
"23","02195","AK","Petersburg Borough",1,3436,1,0,4,"ok","Alaska"
"24","02198","AK","Prince of Wales-Hyder Census Area",0,5746,1,0,4,"ok","Alaska"
"25","02220","AK","Sitka City and Borough",1,8355,1,0,4,"ok","Alaska"
"26","02230","AK","Skagway Municipality",0,1119,1,0,4,"ok","Alaska"
"27","02240","AK","Southeast Fairbanks Census Area",0,7313,1,0,4,"ok","Alaska"
"28","02275","AK","Wrangell City and Borough",1,2064,1,0,4,"ok","Alaska"
"29","02282","AK","Yakutat City and Borough",0,690,1,0,4,"ok","Alaska"
"30","02290","AK","Yukon-Koyukuk Census Area",0,5099,1,0,4,"ok","Alaska"
"31","01001","AL","Autauga County",1,61464,1,0,4,"ok","Alabama"
"32","01003","AL","Baldwin County",3,261608,3,0,5,"ok","Alabama"
"33","01005","AL","Barbour County",1,24358,1,0,4,"ok","Alabama"
"34","01007","AL","Bibb County",1,22258,1,0,4,"ok","Alabama"
"35","01009","AL","Blount County",1,60163,1,0,4,"ok","Alabama"
"36","01011","AL","Bullock County",2,9901,1,0,4,"ok","Alabama"
"37","01013","AL","Butler County",1,18256,1,0,4,"ok","Alabama"
"38","01015","AL","Calhoun County",1,116427,2,0,4,"ok","Alabama"
"39","01017","AL","Chambers County",1,33813,1,0,4,"ok","Alabama"
"40","01019","AL","Cherokee County",1,26138,1,0,4,"ok","Alabama"
"41","01021","AL","Chilton County",1,47262,1,0,4,"ok","Alabama"
"42","01023","AL","Choctaw County",1,12052,1,0,4,"ok","Alabama"
"43","01025","AL","Clarke County",2,22142,1,0,4,"ok","Alabama"
"44","01027","AL","Clay County",1,14239,1,0,4,"ok","Alabama"
"45","01029","AL","Cleburne County",0,15905,1,0,4,"ok","Alabama"
"46","01031","AL","Coffee County",1,56358,1,0,4,"ok","Alabama"
"47","01033","AL","Colbert County",2,58785,1,0,4,"ok","Alabama"
"48","01035","AL","Conecuh County",1,11109,1,0,4,"ok","Alabama"
"49","01037","AL","Coosa County",0,10291,1,0,4,"ok","Alabama"
"50","01039","AL","Covington County",2,37748,1,0,4,"ok","Alabama"
"51","01041","AL","Crenshaw County",2,13114,1,0,4,"ok","Alabama"
"52","01043","AL","Cullman County",1,92604,1,0,4,"ok","Alabama"
"53","01045","AL","Dale County",1,50067,1,0,4,"ok","Alabama"
"54","01047","AL","Dallas County",1,35545,1,0,4,"ok","Alabama"
"55","01049","AL","DeKalb County",1,73122,1,0,4,"ok","Alabama"
"56","01051","AL","Elmore County",2,91042,1,0,4,"ok","Alabama"
"57","01053","AL","Escambia County",2,36630,1,0,4,"ok","Alabama"
"58","01055","AL","Etowah County",2,103207,1,0,4,"ok","Alabama"
"59","01057","AL","Fayette County",2,15863,1,0,4,"ok","Alabama"
"60","01059","AL","Franklin County",2,31874,1,0,4,"ok","Alabama"
"61","01061","AL","Geneva County",2,27259,1,0,4,"ok","Alabama"
"62","01063","AL","Greene County",1,7127,1,0,4,"ok","Alabama"
"63","01065","AL","Hale County",1,15116,1,0,4,"ok","Alabama"
"64","01067","AL","Henry County",0,18141,1,0,4,"ok","Alabama"
"65","01069","AL","Houston County",2,109366,1,0,4,"ok","Alabama"
"66","01071","AL","Jackson County",1,53780,1,0,4,"ok","Alabama"
"67","01073","AL","Jefferson County",10,664744,5,2,8,"above","Alabama"
"68","01075","AL","Lamar County",0,13543,1,0,4,"ok","Alabama"
"69","01077","AL","Lauderdale County",1,97502,1,0,4,"ok","Alabama"
"70","01079","AL","Lawrence County",1,33567,1,0,4,"ok","Alabama"
"71","01081","AL","Lee County",1,187847,2,0,5,"ok","Alabama"
"72","01083","AL","Limestone County",1,118942,2,0,4,"ok","Alabama"
"73","01085","AL","Lowndes County",0,9485,1,0,4,"ok","Alabama"
"74","01087","AL","Macon County",0,18159,1,0,4,"ok","Alabama"
"75","01089","AL","Madison County",2,423355,4,1,7,"ok","Alabama"
"76","01091","AL","Marengo County",1,18512,1,0,4,"ok","Alabama"
"77","01093","AL","Marion County",1,29323,1,0,4,"ok","Alabama"
"78","01095","AL","Marshall County",1,102156,1,0,4,"ok","Alabama"
"79","01097","AL","Mobile County",5,412339,4,1,6,"ok","Alabama"
"80","01099","AL","Monroe County",1,19057,1,0,4,"ok","Alabama"
"81","01101","AL","Montgomery County",4,225894,2,0,5,"ok","Alabama"
"82","01103","AL","Morgan County",1,126084,2,0,4,"ok","Alabama"
"83","01105","AL","Perry County",0,7719,1,0,4,"ok","Alabama"
"84","01107","AL","Pickens County",0,18508,1,0,4,"ok","Alabama"
"85","01109","AL","Pike County",1,33124,1,0,4,"ok","Alabama"
"86","01111","AL","Randolph County",1,23067,1,0,4,"ok","Alabama"
"87","01113","AL","Russell County",1,58837,1,0,4,"ok","Alabama"
"88","01117","AL","Shelby County",1,235969,2,0,5,"ok","Alabama"
"89","01115","AL","St Clair County",1,96927,1,0,4,"ok","Alabama"
"90","01119","AL","Sumter County",1,11607,1,0,4,"ok","Alabama"
"91","01121","AL","Talladega County",2,81375,1,0,4,"ok","Alabama"
"92","01123","AL","Tallapoosa County",2,40699,1,0,4,"ok","Alabama"
"93","01125","AL","Tuscaloosa County",2,241212,2,0,5,"ok","Alabama"
"94","01127","AL","Walker County",1,65260,1,0,4,"ok","Alabama"
"95","01129","AL","Washington County",1,15018,1,0,4,"ok","Alabama"
"96","01131","AL","Wilcox County",1,9865,1,0,4,"ok","Alabama"
"97","01133","AL","Winston County",1,23869,1,0,4,"ok","Alabama"
"98","05001","AR","Arkansas County",2,16050,1,0,4,"ok","Arkansas"
"99","05003","AR","Ashley County",1,17984,1,0,4,"ok","Arkansas"
